status_id,status_message,link_name,status_type,status_link,status_published,num_reactions,num_comments,num_shares,num_likes,num_loves,num_wows,num_hahas,num_sads,num_angrys,num_special,ScoreTextBlob,ScoreVader,ScoreAzure,ScoreStanfordCoreNLP,ScoreGoogleNLP,ScoreIBMNLP
399030656818342_1043213625733372,"Ramadan Mubarak, Introducing Eid Collection 2016

VIEW FULL ALBUM: http://bit.ly/EidCollection2016

All dresses will be available across all outlets throughout Ramadan",Timeline Photos,photo,https://www.facebook.com/Shwapno.ACILL/photos/a.399106963477378.104125.399030656818342/1043213625733372/?type=3,2016-06-12 23:18:33,9085,17,6,9043,17,10,14,0,1,0,0.38,0.00,-1000.00,1.00,0.60,0.00
399030656818342_1043213165733418,"VIEW EID COLLECTION: http://bit.ly/EidCollection2016

All dresses will be available across all outlets throughout Ramadan",Timeline Photos,photo,https://www.facebook.com/Shwapno.ACILL/photos/a.399106963477378.104125.399030656818342/1043213165733418/?type=3,2016-06-12 23:17:13,4409,5,5,4397,10,2,0,0,0,0,0.40,0.00,-1000.00,2.00,0.60,0.00
399030656818342_1042777695776965,"""আমাদের বেশির ভাগ শাকসবজি সরাসরি কৃষকের কাছ থেকে আসছে। এটা শতভাগ করতে আমরা মধ্যস্বত্বভোগীদের নানা বাধা-বিপত্তির মুখে পড়ছি। তবে আমরা বসে নেই। আমাদের লক্ষ্য, স্বপ্নের ৯০ শতাংশ পণ্য আসবে সরাসরি কৃষকের কাছ থেকে। তাঁদের উন্নয়ন ও স্বপ্নপূরণে আমাদের অঙ্গীকার আছে। বর্তমানে আমাদের কিছু চুক্তিভিত্তিক কৃষি ক্ষেত্র আছে। এর মাধ্যমে আমরা কৃষককে ন্যায্য মূল্য দেওয়ার চেষ্টা করছি। একই সঙ্গে তাঁদের বিভিন্ন কৃষি উপকরণ কম মূল্যে এবং কখনো কখনো বিনা মূল্যে দিয়ে থাকি। সরাসরি কৃষি উত্পাদন আমাদের মূল প্রতিষ্ঠান এসিআই করতেই পারে। কিন্তু আমরা তা না করে কন্ট্রাক্ট ফার্মিংয়ের মাধ্যমে কৃষকদের কাছ থেকে পণ্য নিয়ে জীবন-মান উন্নয়নের চেষ্টা করে যাব।"" 

- কালের কণ্ঠ কে দেয়া সাক্ষাৎকারে বলেছেন ‘স্বপ্ন‘’ এর নির্বাহী পরিচালক, জনাব সাব্বির হাসান নাসির",‘স্বপ্ন’ হবে এ দেশের ওয়ালমার্ট | কালের কণ্ঠ,link,http://www.kalerkantho.com/print-edition/income-expense/2016/06/12/368771,2016-06-12 05:27:15,3889,25,84,3868,10,3,8,0,0,0,0.00,0.00,-1000.00,2.00,0.00,-1000.00
399030656818342_1041162685938466,"| Shwapno Eid Collection 2016 |
Dress Your Dreams to Make Your Mark

VIEW EID COLLECTION: http://bit.ly/EidCollection2016",| Shwapno Eid Collection 2016 |,video,https://www.facebook.com/Shwapno.ACILL/videos/1041162685938466/,2016-06-09 07:23:42,24673,157,608,24146,259,215,32,3,18,0,0.00,0.40,-1000.00,2.00,0.10,0.63
399030656818342_1040030926051642,"VIEW EID COLLECTION: http://bit.ly/EidCollection2016

All dresses will be available across all outlets throughout Ramadan",Timeline Photos,photo,https://www.facebook.com/Shwapno.ACILL/photos/a.399106963477378.104125.399030656818342/1040030926051642/?type=3,2016-06-07 09:12:31,17878,42,11,17830,29,14,3,0,2,0,0.40,0.00,-1000.00,2.00,0.60,0.00
399030656818342_1040030119385056,"Ramadan Mubarak, Introducing Eid Collection 2016

VIEW FULL ALBUM: http://bit.ly/EidCollection2016

All dresses will be available across all outlets throughout Ramadan",Timeline Photos,photo,https://www.facebook.com/Shwapno.ACILL/photos/a.399106963477378.104125.399030656818342/1040030119385056/?type=3,2016-06-07 09:08:48,2596,9,4,2584,10,1,1,0,0,0,0.38,0.00,-1000.00,1.00,0.60,0.00
399030656818342_1039230772798324,"Ramadan Mubarak, Introducing Eid Collection 2016

VIEW FULL ALBUM: http://bit.ly/EidCollection2016

All dresses will be available across all outlets from 1st Ramadan",Timeline Photos,photo,https://www.facebook.com/Shwapno.ACILL/photos/a.399106963477378.104125.399030656818342/1039230772798324/?type=3,2016-06-05 23:14:51,8310,40,9,8284,16,7,1,0,2,0,0.38,0.00,-1000.00,1.00,0.60,0.00
399030656818342_1039230432798358,"Ramadan Mubarak!  SHWAPNO Eid Collection 2016 is here [FULL ALBUM]: http://bit.ly/EidCollection2016

All dresses will be available across all outlets from 1st Ramadan",Timeline Photos,photo,https://www.facebook.com/Shwapno.ACILL/photos/a.399106963477378.104125.399030656818342/1039230432798358/?type=3,2016-06-05 23:13:36,10727,21,7,10696,18,8,1,3,1,0,0.38,0.00,-1000.00,2.00,0.30,0.00
399030656818342_1039229872798414,"SHWAPNO Introduces Eid Collection 2016 [FULL ALBUM]: http://bit.ly/EidCollection2016

All dresses will be available across all outlets from 1st Ramadan",Timeline Photos,photo,https://www.facebook.com/Shwapno.ACILL/photos/a.399106963477378.104125.399030656818342/1039229872798414/?type=3,2016-06-05 23:11:25,528,9,2,522,2,3,1,0,0,0,0.38,0.00,-1000.00,1.00,0.50,0.00
399030656818342_1038275072893894,"Dress Your Dreams to Make Your Mark

VIEW EID COLLECTION: http://bit.ly/EidCollection2016

All dresses will be available across all outlets from 1st Ramadan",Timeline Photos,photo,https://www.facebook.com/Shwapno.ACILL/photos/a.399106963477378.104125.399030656818342/1038275072893894/?type=3,2016-06-04 03:33:53,6627,18,10,6588,27,10,2,0,0,0,0.40,0.40,-1000.00,2.00,-0.10,0.00
