status_id,status_message,link_name,status_type,status_link,status_published,num_reactions,num_comments,num_shares,num_likes,num_loves,num_wows,num_hahas,num_sads,num_angrys,num_special
407422362695986_453630908075131,,Timeline Photos,photo,https://www.facebook.com/lifebuoybangladesh/photos/a.407425886028967.1073741825.407422362695986/453630831408472/?type=3,2013-12-17 05:40:46,6,0,0,6,0,0,0,0,0,0
407422362695986_446880992083456,,Timeline Photos,photo,https://www.facebook.com/lifebuoybangladesh/photos/a.407425886028967.1073741825.407422362695986/432671273504428/?type=3,2013-11-27 23:00:01,6,0,0,6,0,0,0,0,0,0
407422362695986_446548235450065,,Timeline Photos,photo,https://www.facebook.com/lifebuoybangladesh/photos/a.407425886028967.1073741825.407422362695986/432671103504445/?type=3,2013-11-26 23:00:01,8,0,0,8,0,0,0,0,0,0
407422362695986_445493892222166,,Timeline Photos,photo,https://www.facebook.com/lifebuoybangladesh/photos/a.407425886028967.1073741825.407422362695986/443149339123288/?type=3,2013-11-24 09:00:01,11,0,0,11,0,0,0,0,0,0
407422362695986_445119608926261,,Timeline Photos,photo,https://www.facebook.com/lifebuoybangladesh/photos/a.407425886028967.1073741825.407422362695986/443149149123307/?type=3,2013-11-23 09:00:00,9,0,1,9,0,0,0,0,0,0
407422362695986_444694808968741,,Timeline Photos,photo,https://www.facebook.com/lifebuoybangladesh/photos/a.407425886028967.1073741825.407422362695986/443148999123322/?type=3,2013-11-22 09:00:00,10,1,1,10,0,0,0,0,0,0
407422362695986_443570745747814,,Timeline Photos,photo,https://www.facebook.com/lifebuoybangladesh/photos/a.407425886028967.1073741825.407422362695986/443146865790202/?type=3,2013-11-21 09:00:00,7,0,0,7,0,0,0,0,0,0
407422362695986_443171125787776,"We believe in a world where no child goes to bed hungry, where every home has enough water to drink, wash and clean, where preventable diseases are prevented, and where every child lives past their fifth birthday. We don't pretend to have all the answers, but we are inviting you to join us on the journey of a #brightfuture Join Now: http://bit.ly/sunlyt
For more info:  http://projectsunlight.com",Timeline Photos,photo,https://www.facebook.com/lifebuoybangladesh/photos/a.407425886028967.1073741825.407422362695986/443144562457099/?type=3,2013-11-20 07:00:01,5,0,1,5,0,0,0,0,0,0
407422362695986_443090155795873,"Because there has never been a better time to create a brighter future, we are launching Unilever Project Sunlight. We believe in a world where no child goes to bed hungry, where every home has enough water to drink, wash and clean, where preventable diseases are prevented, and where every child lives past their fifth birthday. We don't pretend to have all the answers, but we are inviting you to join us on the journey of a #brightfuture Join Now: http://bit.ly/sunlyt",Unilever Project Sunlight,link,https://www.youtube.com/user/ulprojectsunlight,2013-11-20 00:56:59,5,1,2,4,1,0,0,0,0,0
407422362695986_443144105790478,,Timeline Photos,photo,https://www.facebook.com/lifebuoybangladesh/photos/a.407425886028967.1073741825.407422362695986/443144092457146/?type=3,2013-11-20 05:38:49,14,0,2,14,0,0,0,0,0,0
407422362695986_443143895790499,,Timeline Photos,photo,https://www.facebook.com/lifebuoybangladesh/photos/a.407425886028967.1073741825.407422362695986/443143889123833/?type=3,2013-11-20 05:37:59,10,0,1,10,0,0,0,0,0,0
407422362695986_443143755790513,,Timeline Photos,photo,https://www.facebook.com/lifebuoybangladesh/photos/a.407425886028967.1073741825.407422362695986/443143735790515/?type=3,2013-11-20 05:37:02,7,0,0,7,0,0,0,0,0,0
407422362695986_443143185790570,,Timeline Photos,photo,https://www.facebook.com/lifebuoybangladesh/photos/a.407425886028967.1073741825.407422362695986/443143132457242/?type=3,2013-11-20 05:36:11,6,0,0,6,0,0,0,0,0,0
407422362695986_441630562608499,,Timeline Photos,photo,https://www.facebook.com/lifebuoybangladesh/photos/a.407425886028967.1073741825.407422362695986/432670793504476/?type=3,2013-11-15 21:00:01,13,1,0,13,0,0,0,0,0,0
407422362695986_443142599123962,,Timeline Photos,photo,https://www.facebook.com/lifebuoybangladesh/photos/a.407425886028967.1073741825.407422362695986/443142592457296/?type=3,2013-11-20 05:35:09,9,0,0,9,0,0,0,0,0,0
407422362695986_441312015973687,,Timeline Photos,photo,https://www.facebook.com/lifebuoybangladesh/photos/a.407425886028967.1073741825.407422362695986/432670616837827/?type=3,2013-11-14 22:00:00,2,0,0,2,0,0,0,0,0,0
407422362695986_440967012674854,,Timeline Photos,photo,https://www.facebook.com/lifebuoybangladesh/photos/a.407425886028967.1073741825.407422362695986/432670483504507/?type=3,2013-11-13 23:00:00,7,0,0,7,0,0,0,0,0,0
407422362695986_440632642708291,,Timeline Photos,photo,https://www.facebook.com/lifebuoybangladesh/photos/a.407425886028967.1073741825.407422362695986/432670363504519/?type=3,2013-11-12 22:00:01,4,1,0,4,0,0,0,0,0,0
407422362695986_440282629409959,,Timeline Photos,photo,https://www.facebook.com/lifebuoybangladesh/photos/a.407425886028967.1073741825.407422362695986/432670236837865/?type=3,2013-11-11 21:00:01,4,0,0,4,0,0,0,0,0,0
407422362695986_439903549447867,,Timeline Photos,photo,https://www.facebook.com/lifebuoybangladesh/photos/a.407425886028967.1073741825.407422362695986/432670090171213/?type=3,2013-11-10 22:00:00,11,0,0,11,0,0,0,0,0,0
407422362695986_439532246151664,,Timeline Photos,photo,https://www.facebook.com/lifebuoybangladesh/photos/a.407425886028967.1073741825.407422362695986/432669786837910/?type=3,2013-11-09 23:00:00,11,0,0,11,0,0,0,0,0,0
407422362695986_439190889519133,,Timeline Photos,photo,https://www.facebook.com/lifebuoybangladesh/photos/a.407425886028967.1073741825.407422362695986/432669576837931/?type=3,2013-11-08 22:00:01,18,1,0,18,0,0,0,0,0,0
407422362695986_438828752888680,,Timeline Photos,photo,https://www.facebook.com/lifebuoybangladesh/photos/a.407425886028967.1073741825.407422362695986/432669403504615/?type=3,2013-11-07 21:00:01,8,0,0,8,0,0,0,0,0,0
407422362695986_438408882930667,,Timeline Photos,photo,https://www.facebook.com/lifebuoybangladesh/photos/a.407425886028967.1073741825.407422362695986/432669210171301/?type=3,2013-11-06 21:00:00,5,0,0,5,0,0,0,0,0,0
407422362695986_438005219637700,,Timeline Photos,photo,https://www.facebook.com/lifebuoybangladesh/photos/a.407425886028967.1073741825.407422362695986/432669043504651/?type=3,2013-11-05 21:00:03,23,0,0,23,0,0,0,0,0,0
407422362695986_437662976338591,,Timeline Photos,photo,https://www.facebook.com/lifebuoybangladesh/photos/a.407425886028967.1073741825.407422362695986/432668820171340/?type=3,2013-11-04 22:00:00,7,0,0,7,0,0,0,0,0,0
407422362695986_437287149709507,,Timeline Photos,photo,https://www.facebook.com/lifebuoybangladesh/photos/a.407425886028967.1073741825.407422362695986/432668690171353/?type=3,2013-11-03 21:00:01,6,0,1,6,0,0,0,0,0,0
407422362695986_436882723083283,,Timeline Photos,photo,https://www.facebook.com/lifebuoybangladesh/photos/a.407425886028967.1073741825.407422362695986/432668483504707/?type=3,2013-11-02 21:00:00,10,0,0,10,0,0,0,0,0,0
407422362695986_436477533123802,,Timeline Photos,photo,https://www.facebook.com/lifebuoybangladesh/photos/a.407425886028967.1073741825.407422362695986/432668220171400/?type=3,2013-11-01 21:00:00,6,0,1,6,0,0,0,0,0,0
407422362695986_435928113178744,,Timeline Photos,photo,https://www.facebook.com/lifebuoybangladesh/photos/a.407425886028967.1073741825.407422362695986/432667906838098/?type=3,2013-10-31 19:00:01,9,1,1,9,0,0,0,0,0,0
407422362695986_435610823210473,,Timeline Photos,photo,https://www.facebook.com/lifebuoybangladesh/photos/a.407425886028967.1073741825.407422362695986/423839271054295/?type=3,2013-10-30 23:00:00,6,0,0,6,0,0,0,0,0,0
407422362695986_434523189985903,,Timeline Photos,photo,https://www.facebook.com/lifebuoybangladesh/photos/a.407425886028967.1073741825.407422362695986/423838544387701/?type=3,2013-10-27 23:00:00,6,1,0,6,0,0,0,0,0,0
407422362695986_433220093449546,"Spread the word! For every share, Lifebuoy will donate 2 Bangladeshi Taka. Link- http://bit.ly/HACR5BD",helpachildreach5,link,https://www.youtube.com/user/helpachildreach5,2013-10-25 02:00:01,15,0,0,15,0,0,0,0,0,0
407422362695986_433464953425060,,Timeline Photos,photo,https://www.facebook.com/lifebuoybangladesh/photos/a.407425886028967.1073741825.407422362695986/423838324387723/?type=3,2013-10-24 23:00:00,11,1,2,11,0,0,0,0,0,0
407422362695986_433219466782942,"You share. We donate.

Share Lifebuoy's Help A Child Reach 5 movement with your friends, and we will donate 2 Bangladeshi Taka towards saving lives through handwashing: http://bit.ly/HelpAchildReach5",Lifebuoy Help a Child reach 5,video,http://bit.ly/HelpAchildReach5,2013-10-24 06:46:21,159,0,104,159,0,0,0,0,0,0
407422362695986_433070470131175,,Timeline Photos,photo,https://www.facebook.com/lifebuoybangladesh/photos/a.407425886028967.1073741825.407422362695986/423838217721067/?type=3,2013-10-23 22:00:00,17,0,1,17,0,0,0,0,0,0
407422362695986_432623620175860,,Timeline Photos,photo,https://www.facebook.com/lifebuoybangladesh/photos/a.407425886028967.1073741825.407422362695986/423838091054413/?type=3,2013-10-22 21:00:01,16,0,0,16,0,0,0,0,0,0
